movie_id,title,rating,release_year,content_rating,duration,listed_in
s1,American Factory: A Conversation with the Obamas,5.41,2019,G,10,Documentaries
s2,The Beast,2.77,2020,R,100,"Action & Adventure, International Movies"
s3,Prospect,9.72,2018,R,100,"Sci-Fi & Fantasy, Thrillers"
s4,The Ghost and the Tout,9.88,2018,PG-13,100,"Comedies, International Movies"
s5,Black '47,6.88,2018,R,100,"Action & Adventure, Dramas, Independent Movies"
s6,Over the Moon,9.62,2020,PG,100,"Children & Family Movies, Music & Musicals"
s7,The Crimes That Bind,7.72,2020,PG-13,100,"Dramas, International Movies"
s8,My Step Dad: The Hippie,1.29,2018,R,100,"Comedies, International Movies"
s9,Bigflo & Oli: Hip Hop Frenzy,8.51,2020,R,100,"Documentaries, International Movies, Music & Musicals"
s10,The Bachelors,8.29,2017,PG-13,100,Dramas
s11,Father Soldier Son,9.95,2020,R,100,Documentaries
s12,My Horrible Grandma,2.94,2012,R,100,"Comedies, Dramas, International Movies"
s13,Cook Off,2.34,2017,G,100,"Comedies, International Movies, Romantic Movies"
s14,Sextuplets,5.26,2019,PG-13,100,Comedies
s15,Boushkash,5.57,2008,R,100,"Comedies, International Movies"
s16,Küçük Esnaf,5.02,2016,R,100,"Comedies, International Movies"
s17,Reversing Roe,10,2018,PG-13,100,Documentaries
s18,Bethany Hamilton: Unstoppable,9.01,2019,PG,100,"Children & Family Movies, Documentaries, Sports Movies"
s19,Vivo,8.93,2021,PG,100,"Children & Family Movies, Music & Musicals"
s20,Print the Legend,7.55,2014,PG-13,100,Documentaries
s21,My Wife and I,6.5,2017,R,100,"Comedies, International Movies, Romantic Movies"
s22,A Single Man,5.76,2009,R,100,"Dramas, Independent Movies, LGBTQ Movies"
s23,Seventeen,6.42,2019,R,100,"Comedies, Dramas, International Movies"
s24,Fractured,6.88,2019,R,100,Thrillers
s25,Unbridled,8.78,2018,R,100,"International Movies, Thrillers"
s26,Dry Martina,7.7,2018,R,100,"Dramas, Independent Movies, International Movies"
s27,My Friend Pinto,5.39,2011,PG-13,100,"Comedies, International Movies, Sci-Fi & Fantasy"
s28,Oversize Cops,5.09,2017,R,100,"Action & Adventure, Comedies, International Movies"
s29,Walk. Ride. Rodeo.,5.51,2019,PG,100,"Children & Family Movies, Dramas"
s30,Mokalik (Mechanic),7.05,2019,PG-13,100,"Dramas, International Movies"
s31,Mission Control: The Unsung Heroes of Apollo,9.67,2017,PG-13,100,Documentaries
s32,Dear Ex,8.19,2018,R,100,"Comedies, Dramas, International Movies"
s33,Milea,9.01,2020,PG-13,100,"Dramas, International Movies, Romantic Movies"
s34,​Mayurakshi,1.42,2017,PG-13,100,"Dramas, International Movies"
s35,Mexicanos de Bronce,1.84,2016,R,100,"Documentaries, International Movies, Music & Musicals"
s36,Masameer - The Movie,4.88,2020,PG-13,100,"Comedies, International Movies"
s37,Been So Long,9.38,2018,R,100,"Dramas, International Movies, Music & Musicals"
s38,InuYasha the Movie: Affections Touching Across Time,8.92,2001,PG,100,"Action & Adventure, Anime Features, International Movies"
s39,On My Skin,5.84,2018,R,100,"Dramas, International Movies"
s40,Emicida: AmarElo - Live in São Paulo,7.56,2021,R,100,"Documentaries, International Movies, Music & Musicals"
s41,Brij Mohan Amar Rahe,7.44,2018,R,100,"Comedies, Dramas, International Movies"
s42,Kill Me If You Dare,8.13,2019,PG-13,100,"Comedies, International Movies, Romantic Movies"
s43,The Mansion,9.73,2017,R,100,"Comedies, Horror Movies, International Movies"
s44,Private Network: Who Killed Manuel Buendía?,3.24,2021,R,100,"Documentaries, International Movies"
s45,Alex Strangelove,7.7,2018,R,100,"Comedies, Dramas, Independent Movies"
s46,Lupin the 3rd: The Castle of Cagliostro: Special Edition,5.25,1979,PG-13,100,"Action & Adventure, Anime Features, Classic Movies"
s47,Anon,5.31,2018,R,100,"Dramas, Sci-Fi & Fantasy, Thrillers"
s48,Roxanne Roxanne,5.94,2018,R,100,"Dramas, Music & Musicals"
s49,The Reservoir Game,5.16,2017,R,100,"Documentaries, International Movies"
s50,The Killer,8.72,2017,R,100,"Action & Adventure, International Movies"
s51,Death Note,4.11,2017,R,100,"Horror Movies, Thrillers"
s52,Winchester,5.68,2018,PG-13,100,"Horror Movies, Sci-Fi & Fantasy"
s53,How to Be Really Bad,1.16,2018,PG-13,100,"Comedies, International Movies"
s54,Rampage: President Down,2.45,2016,R,100,"Action & Adventure, International Movies"
s55,Harud,6.51,2010,R,100,"Dramas, International Movies"
s56,Virunga,1.48,2014,R,100,"Documentaries, International Movies"
s57,The Short Game,6.86,2013,PG,100,"Children & Family Movies, Documentaries, Sports Movies"
s58,50/50,6.27,2011,R,100,"Comedies, Dramas, Independent Movies"
s59,The Long Riders,7.44,1980,R,100,Action & Adventure
s60,Abdo Mota,7.04,2012,R,100,"Action & Adventure, Dramas, International Movies"
s61,All the Devil's Men,9.93,2018,R,100,Action & Adventure
s62,Lying and Stealing,5.28,2019,R,100,Thrillers
s63,Bedtime Stories,3.96,2008,PG,100,"Children & Family Movies, Comedies"
