user_id,movie_ids
1,"s2156,s2506,s2223,s229,s2465,s3225,s4843,s3076,s3864,s2813,s5454,s964,s4732,s2290,s4891,s4710,s1098,s3191,s4085,s3991,s4262,s774,s6051,s1180,s3999,s4225,s2600,s2138,s1161,s253,s4535,s5249,s12,s657,s4650,s2950,s3305,s1077,s3789,s2735,s98,s3297,s4328,s622,s5857,s5232,s1078,s1041,s5409,s1935,s1567,s4857,s726,s181,s5218,s1157,s3556,s5530,s752,s5100,s5526,s5806,s150,s4784,s5037,s4615,s3099,s807,s4119,s2123,s553,s841,s5045,s2219,s3669,s1742,s1551,s1879,s5535,s810,s6096,s1898,s3526,s5233,s6007,s1914,s3855,s1847,s3276,s4321,s3809,s606,s1901,s4482,s3360,s4281,s405,s4553,s1626,s4479,s5791,s2537,s572,s1657,s4782,s1990,s5291,s292,s3395,s1179,s18,s468,s5988,s5480,s2992,s366,s4906,s5869,s5089,s2409,s3508,s5104,s529,s1634,s3986,s142,s2994,s3004,s1425,s965,s5749,s303,s3758,s343,s1964,s1111,s692,s71,s5774,s4797,s1197,s4271,s4769,s2098,s3486,s5043,s4951,s5926,s2933,s4826,s2233,s3320,s4991,s877,s3993"
2,"s3739,s4604,s1270,s5620,s4135,s5081,s4697,s42,s2719,s1675,s4576,s5784,s5185,s2712,s1401,s4790,s4959,s1808,s3717,s3568,s1633,s1116,s5227,s2591,s242,s157,s4506,s3707,s5554,s2527,s1019,s3249,s2453,s2016,s840,s4179,s5502,s245,s1517,s4481,s5794,s5176,s3293,s5126,s2309,s1642,s5169,s3444,s4648,s4687,s3205,s3771,s486,s4785,s1741,s4195,s4699,s3925,s5237,s996,s5705,s77,s3195,s821,s4663,s2728,s1058,s4597,s2158,s4394,s5003,s4873,s5436,s5678,s1889,s5266,s1664,s3787,s3410,s2560,s4065,s2247,s4039,s3597,s4676,s571,s2122,s5746,s512,s31,s439,s1138,s3952,s1887,s4442,s730,s233,s2348,s1225,s3143,s4031,s2043,s1836"
3,"s720,s2740,s3596,s5086,s167,s4006,s671,s5212,s3058,s4985,s1763,s3882,s2620,s359,s4073,s2431,s3174,s202,s2382,s4117,s3885,s2483,s2965,s3361,s4236,s1905,s5199,s3744,s4281,s5857,s4414,s3875,s3991,s582,s6008,s2610,s1693,s2659,s5293,s3681,s681,s4026,s1350,s4761,s1006,s4134,s391,s1153,s4476,s1288,s1133,s5998,s5394,s1035,s2384,s5850,s3738,s5706,s4367,s5869,s2283,s2942,s3063,s2948,s3787,s4045,s3601,s5776,s3023,s2656,s1531,s258,s4404,s5810,s1200"
4,"s4135,s1343,s5313,s5489,s3484,s5206,s1645,s3181,s2336,s3328,s2151,s5503,s4383,s1166,s4689,s4438,s3888,s4278,s1109,s16,s3097,s1681,s2421,s5828,s2406,s5655,s922,s3615,s3772,s5254,s3514,s5175,s5905,s2814,s3102,s683,s1060,s4214,s3278,s4662,s577,s1559,s4592,s1554,s4127,s4094,s99,s5416,s258,s3535,s4744,s3184,s4643,s5046,s210,s563,s2206,s2966,s5760,s4481,s3505,s3636,s809,s5106,s3461,s4932,s3395,s2222,s1515,s2928,s3161,s40,s1735,s2072,s603,s4667,s3876,s1364,s5569,s1017,s3817,s755,s4013,s5471,s1379,s5886,s174,s3143,s2616,s5211,s5057,s1989,s862,s2541,s4750,s1349,s1689,s2429,s156,s6036,s1197,s4010,s2642,s5166,s4432,s1221,s4164,s1363,s4182,s2122,s65,s2511,s4474,s4836,s6082,s4971,s3182,s5075,s1986,s1502,s656,s1872,s505,s2234,s4426,s5822,s222,s325,s1339,s2363,s79,s5389,s1967,s2980,s5644,s1561,s5444,s48,s206,s5190,s2169,s2184,s3170,s1748,s5612,s5262,s3919,s940,s1016,s434,s4673"
5,"s2395,s4412,s4603,s305,s1933,s2530,s5527,s2541,s4564,s4971,s2952,s715,s287,s4706,s5473,s5922,s3428,s607,s4130,s4741,s1787,s4630,s4070,s2785,s2002,s2026,s2469,s2497,s3655,s5533,s5495,s5015,s2588,s956,s1004,s2121,s3344,s2826,s2624,s1666,s2057,s3441,s4463,s1835,s2651,s2863"
6,"s2345,s3066,s4364,s808,s745,s4228,s5263,s972,s1352,s2503,s559,s4148,s3784,s5542,s2073,s4727,s5905,s3137,s4356,s4597,s5218,s4711,s2126"
7,"s1257,s4559,s2082,s4681,s3262,s5756,s3126,s356,s5671,s5725,s2893,s293,s2968,s1863,s631,s6050,s608,s3356,s699,s3794,s5500,s5435,s2733,s5675,s4565,s2195,s678,s656,s645,s1219,s5238,s3081"
8,"s3021,s884,s1546,s3257,s3210,s2187,s958,s3391,s73,s371,s4032,s4851,s3442,s877,s2173,s860,s2393,s343,s91,s1915,s263,s918,s3694,s5274,s3116,s2399,s672,s3552,s990,s2880,s5763,s3182,s2074,s882,s2416,s4339,s5833,s3986,s1387,s5063,s2850,s4583,s5104,s1242,s61,s3887,s583,s4228,s1887,s4422,s828,s3867,s132,s2647,s3991,s3107,s3640,s3232,s1029,s1779,s547,s3320,s4435,s822,s2828,s135,s3063,s5163,s2716,s538,s2936,s6067,s1285,s6051,s5324,s435,s366,s5849,s3830,s5489,s2533,s1972,s1658,s2412,s713,s4351,s406,s3122,s1186,s3143,s399,s4230,s156,s5928,s4992,s3057,s3795,s3464,s4859,s5599,s3733,s3650,s4715,s3006,s2463,s2509,s529,s3093,s2197,s254,s3120,s5342,s4962,s3745,s1741,s409,s1607,s3845,s272,s1583,s264,s2024,s47,s5376,s2475,s1040,s4654,s2899,s4909,s1805,s5292,s5600,s742,s2398,s5808,s3880,s5080,s3336,s457,s4095,s6053,s978,s4866,s2821,s4326,s2166,s718,s2282,s5612,s5319,s1354,s3743,s5004,s4432,s4813,s4039,s4372,s2884,s1934,s1870,s2590,s4413,s6032,s2955,s5419,s3416"
9,"s2408,s460,s5418,s4592,s1236,s3076,s4160,s1324,s826,s5600,s5332,s935,s5364,s220,s5386,s506,s5088,s1683,s5762,s5223,s850,s2825,s2011,s2218,s2344,s5571,s5729,s2715,s2310,s611,s3463,s6095,s1304,s577,s4810,s1805,s1847,s2302,s503,s4691,s5279,s3163,s1645,s5449"
10,"s1131,s5570,s4273,s3418,s5339,s4601,s2599,s1981,s4062,s578,s5563,s5497,s1008,s4008,s4471,s3502,s2564,s5898,s3365,s3914,s3028,s4222,s5686,s5229,s3412,s3113,s2310,s4621,s3093,s4157,s2785,s3537,s3943,s5566,s835,s2246,s4739,s2905,s4111,s1274,s3058,s232,s3381,s1191,s4903,s2817,s18,s4380,s325,s5716,s2574,s4368,s1921,s460,s888,s2448,s4164,s3702,s3363,s5510,s4150,s5492,s5895,s1625,s4877,s1248,s2051,s1675,s2949,s3480,s5008,s1578,s5283,s1328,s2791,s1347,s4229,s1800,s3037,s1819,s1195,s245,s3611,s4155,s3413,s5948,s6004,s5849,s4697,s4547,s717,s327,s2740,s4583,s647,s2211,s4110,s3411,s1033,s4676,s3951,s5634,s1071,s5907,s1530,s5577,s516,s4918,s4310,s1148,s4503,s3730,s604"
